A:rm:KING:col0	21301
A:rm:KING:col1	31412
A:rm:KING:col0_sp	2 13 0 1
A:rm:KING:rowbits	1011
A:rm:KING:interleave0	120131011
A:rm:KING:interleave1	130141112
A:rm:KING:packbytes	100d0e0f
A:rm:KING:decascii	12,013,10,11
A:rm:KING:ctrl	KING
A:rm:QUEEN:col0	10110100
A:rm:QUEEN:col1	11211111
A:rm:QUEEN:col0_sp	10 1 10 10 0
A:rm:QUEEN:rowbits	10001
A:rm:QUEEN:interleave0	1100101001010
A:rm:QUEEN:interleave1	1110201101111
A:rm:QUEEN:packbytes	18010a0a0e
A:rm:QUEEN:decascii	110,01,010,010,10
A:rm:QUEEN:ctrl	QUEEN
A:rm:C:col0	3
A:rm:C:col1	4
A:rm:C:rowbits	0
A:rm:C:interleave0	03
A:rm:C:interleave1	04
A:rm:C:ctrl	C
A:rm:KINGQUEENC:col0	21301101101003
A:rm:KINGQUEENC:col1	31412112111114
A:rm:KINGQUEENC:col0_sp	2 13 0 1 10 1 10 10 0 3
A:rm:KINGQUEENC:rowbits	1011100010
A:rm:KINGQUEENC:interleave0	120131011110010100101003
A:rm:KINGQUEENC:interleave1	130141112111020110111104
A:rm:KINGQUEENC:packbytes	100d0e0f18010a0a0e03
A:rm:KINGQUEENC:decascii	12,013,10,11,110,01,010,010,10,03
A:rm:KINGQUEENC:ctrl	KINGQUEENC
A:rm:QUEENKINGC:col0	10110100213013
A:rm:QUEENKINGC:col1	11211111314124
A:rm:QUEENKINGC:col0_sp	10 1 10 10 0 2 13 0 1 3
A:rm:QUEENKINGC:rowbits	1000110110
A:rm:QUEENKINGC:interleave0	110010100101012013101103
A:rm:QUEENKINGC:interleave1	111020110111113014111204
A:rm:QUEENKINGC:packbytes	18010a0a0e100d0e0f03
A:rm:QUEENKINGC:decascii	110,01,010,010,10,12,013,10,11,03
A:rm:QUEENKINGC:ctrl	QUEENKINGC
A:cb:(0, 1):cb0	0001020304050607080901001101201310111213141516171819110111112113
A:cb:(0, 1):cb0:nib	0001020304050607080901000b01140d0a0b0c0d0e0f101112130b010b0b150d
A:cb:(0, 1):cb1	010203040506070809010011012013014111213141516171819110111112113114
A:cb:(0, 1):cb1:nib	01020304050607080901000b01140d01290b151f29333d47515b0a0b0b0c0b1f0e
A:cb:(1, 0):cb0	1011121314151617181911011111211300010203040506070809010011012013
A:cb:(1, 0):cb0:nib	0a0b0c0d0e0f101112130b010b0b150d0001020304050607080901000b01140d
A:cb:(1, 0):cb1	111213141516171819110111112113114010203040506070809010011012013014
A:cb:(1, 0):cb1:nib	0b0c0d0e0f101112130b010b0b150d0b280a141e28323c46505a0a010a0c011e0e
